"travis_id";"ght_id";"watchers";"slug";"lang";"created_at";"last_build_finished_at";"order";"project_found";"log_found";"travis_present";"first_t_commit";"last_t_commit";"active";"last_build_duration";"yml_contribs";"yml_commits";"job_count";"repo_id";"build_id";"last_build";"commits";"contribs";"last_commit";"build_count";"first_build";"yml_deleted";"travis_abandoned";"builds_period";"travis_period";"pushes";"PRs";"project_age";"abandoned";"commit_time_after_last_build";"abandoned_and_alive"
8802;8738922;10;"ryanycoleman/rcoleman-mac_profiles_handler";"Puppet";2012-02-28;"2012-05-03";73633;1;1;0;"2012-02-29";"2012-05-02";0;15;1;2;1;8802;1233067;2012-05-03;26;5;2014-06-17;9;2012-02-29;1;1;64;63;9;0;2205;1;775;TRUE
9275;82848;12;"aleafs/itier-client";"JavaScript";2012-03-02;"2013-07-01";66936;1;1;1;"2012-03-06";"2013-07-01";1;104;2;4;3;9275;8618254;2013-07-01;162;4;2013-07-01;86;2012-03-06;0;0;482;482;75;11;2202;0;0;FALSE
9286;4052703;1;"neochrome/simple-fsm";"JavaScript";2012-03-06;"2013-11-20";162364;1;1;1;"2012-03-06";"2013-11-19";1;327;1;5;4;9286;14256966;2013-11-20;21;2;2013-11-20;16;2012-03-06;0;0;624;623;16;0;2198;0;0;FALSE
9321;609613;14;"philostler/historyjs-rails";"Ruby";2012-03-06;"2013-06-05";62478;1;1;1;"2012-03-06";"2013-02-14";1;1022;1;2;14;9321;7800353;2013-06-05;9;2;2013-06-05;8;2012-03-06;0;0;456;345;7;1;2198;0;0;FALSE
9326;336518;18;"gabrielfalcao/couleur";"Python";2010-04-18;"2015-12-13";55424;1;1;1;"2012-09-06";"2015-12-13";1;13;1;2;1;9326;96553252;2015-12-13;60;4;2015-12-13;22;2012-09-06;0;0;1193;1193;19;3;2886;0;0;FALSE
9335;1699622;2;"kyrylo/patience";"Ruby";2011-12-19;"2012-03-07";133602;1;1;0;"2012-03-06";"2012-03-07";0;57;1;3;1;9335;816914;2012-03-07;216;2;2014-02-06;37;2012-03-06;1;1;1;1;37;0;2276;1;701;TRUE
9544;72674;121;"james2m/canard";"Ruby";2011-09-06;"2017-03-07";19367;1;1;1;"2012-08-02";"2017-03-07";1;520;3;8;6;9544;208621095;2017-03-07;231;13;2017-03-07;95;2012-03-12;0;0;1821;1678;74;21;2380;0;0;FALSE
9570;1102871;9;"GromNaN/Welldom";"PHP";2012-03-07;"2015-08-12";78371;1;1;1;"2012-02-21";"2014-09-23";1;20;2;3;4;9570;75289616;2015-08-12;21;6;2014-09-23;24;2012-03-09;0;0;1251;945;18;6;2197;0;-323;FALSE
9589;40415;82;"caffeinehit/django-follow";"Python";2011-01-11;"2016-03-09";24795;1;1;1;"2012-03-09";"2012-03-09";1;41;1;2;2;9589;114910626;2016-03-09;71;4;2013-01-16;13;2012-03-09;0;0;1461;0;7;6;2618;0;-1148;FALSE
9613;76970;74;"example42/puppet-modules-nextgen";"Ruby";2011-11-03;"2013-07-14";26336;1;1;1;"2012-03-12";"2012-09-14";0;1303;1;2;3;9613;5336912;2013-03-08;360;7;2013-12-02;99;2012-03-09;0;1;364;186;99;0;2322;1;269;TRUE
9615;301271;13;"example42/puppet-jenkins";"Puppet";2012-01-07;"2015-06-28";64645;1;1;1;"2012-12-27";"2013-03-07";0;164;1;2;7;9615;68682813;2015-06-28;44;7;2016-05-12;14;2013-03-07;0;1;843;70;12;2;2257;1;319;TRUE
9623;25625;46;"pculture/vidscraper";"Python";2011-09-21;"2014-05-29";34426;1;1;1;"2012-03-09";"2013-01-03";1;252;2;4;2;9623;26312941;2014-05-29;522;6;2013-11-14;182;2012-03-09;0;0;811;300;177;5;2365;0;-196;FALSE
9660;263788;20;"marceldegraaf/sisow";"Ruby";2012-01-28;"2016-10-28";52716;1;1;1;"2012-03-10";"2012-03-10";1;63;1;2;3;9660;171356662;2016-10-28;72;3;2016-10-28;50;2012-03-10;0;0;1693;0;48;2;2236;0;0;FALSE
9667;477403;2;"ngzax/sppl";"Ruby";2011-03-16;"2016-04-05";132679;1;1;1;"2012-03-10";"2015-12-22";1;82;3;4;1;9667;121024716;2016-04-05;152;3;2016-04-05;47;2012-03-10;0;0;1487;1382;45;2;2554;0;0;FALSE
