probability type
0.020252658988985362 All
0.016088014813809285 All
0.016107554892286036 All
0.019709437214691067 All
0.01615580471022457 All
0.06137713380187048 All
0.01618373262338363 All
0.01603432714430017 All
0.016163261032875558 All
0.016135391036175156 All
0.01611328170289225 All
0.016039429216792342 All
0.016175372222943147 All
0.01610875985466196 All
0.01610540828340491 All
0.025895108119960854 All
0.21761898620215586 All
0.01603432714430017 All
0.019813483873622872 All
0.016098559266881085 All
0.020296287476110432 All
0.016133009353616976 All
0.0161265356377314 All
0.01615059477501512 All
0.018120147930996824 All
0.016118443899203624 All
0.01609708702199665 All
0.032432936358325226 All
0.016125791523744618 All
0.019256579015032516 All
0.016060585811183834 All
0.01610183261258115 All
0.016150728259564463 All
0.01611679170520281 All
