['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/xrmx/superset/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/xrmx/superset/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/11', [0.0, 0.0, 0.25, 0.2, 1.0, 0, 1, 0], 0.29140126918386333, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/10', [0.0, 0.0, 0.25, 0.2, 1.0, 0, 1, 0], 0.29140126918386333, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/9', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/8', [0.0, 0.0, 0.25, 0.2, 1.0, 0, 1, 0], 0.29140126918386333, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/7', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/6', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/5', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/4', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/3', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/2', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/lyft/incubator-superset/pull/12', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/xrmx/superset/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/74', [0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0, 1, 0], 0.020200795288818837, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/73', [0.0, 0.0, 0.020833333333333332, 0.125, 0.13903743315508021, 0, 2, 0], 0.02651502080921512, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/72', [0.0, 0.0, 0.014234875444839857, 0.0625, 0.0, 0, 1, 0], 0.019853126858378634, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/71', [0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0, 1, 0], 0.020200795288818837, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/70', [0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0, 1, 0], 0.020200795288818837, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/69', [0.0, 0.0, 0.012195121951219513, 0.125, 0.0, 0, 2, 0], 0.025097231140827445, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/67', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/66', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/65', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/63', [0.0, 0.0, 0.008583690987124463, 0.08333333333333333, 0.0, 0, 1, 0], 0.020027522980973742, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/62', [0.0, 0.0, 0.004016064257028112, 0.07692307692307693, 0.0, 0, 1, 0], 0.019450781303909058, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/61', [0.0, 0.0, 0.08852459016393442, 0.06666666666666667, 0.0, 0, 2, 0], 0.03187241035071491, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/60', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/59', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/58', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/57', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/SpyderRivera/incubator-superset/pull/5', 'https://github.com/airbnb/incubator-superset/pull/56', [0.0, 0.0, 0.0, 0.07692307692307693, 0.0, 0, 1, 0], 0.019126863959610056, False]
