,,,,,,title,desc,code,file_list,location,pattern,,
facebook/react,8195,7972,0.7275,1,N/A,0.1844,0.111,0,0.5,1,0,https://www.github.com/facebook/react/pull/8195,https://www.github.com/facebook/react/pull/7972
facebook/react,6945,2226,0.7261,1,N/A,0.5772,0.2018,0,0,0,0,https://www.github.com/facebook/react/pull/6945,https://www.github.com/facebook/react/pull/2226
facebook/react,6161,992,0.6821,1,N/A,0.5734,0.1197,0,0,0,0,https://www.github.com/facebook/react/pull/6161,https://www.github.com/facebook/react/pull/992
facebook/react,7619,1157,0.6763,1,N/A,0.6355,0.1039,0,0,0,-1,https://www.github.com/facebook/react/pull/7619,https://www.github.com/facebook/react/pull/1157
facebook/react,9919,5797,0.663,1,N/A,0.5644,0.1152,0,0,0,0,https://www.github.com/facebook/react/pull/9919,https://www.github.com/facebook/react/pull/5797
facebook/react,9969,9265,0.6608,1,N/A,0.5599,0.128,0,0,0,0,https://www.github.com/facebook/react/pull/9969,https://www.github.com/facebook/react/pull/9265
facebook/react,10856,1335,0.6566,1,N/A,0.0397,0,0,1,0.6383,0,https://www.github.com/facebook/react/pull/10856,https://www.github.com/facebook/react/pull/1335
facebook/react,9534,5925,0.6517,1,N/A,0.5731,0.0586,0,0,0,0,https://www.github.com/facebook/react/pull/9534,https://www.github.com/facebook/react/pull/5925
facebook/react,9813,6893,0.6501,1,N/A,0.5778,0.037,0,0,0,0,https://www.github.com/facebook/react/pull/9813,https://www.github.com/facebook/react/pull/6893
facebook/react,12607,263,0.6458,1,N/A,0.5784,0.0261,0,0,0,0,https://www.github.com/facebook/react/pull/12607,https://www.github.com/facebook/react/pull/263
facebook/react,2312,1267,0.6452,1,N/A,0.5835,0.0011,0,0.0037,0,0,https://www.github.com/facebook/react/pull/2312,https://www.github.com/facebook/react/pull/1267
facebook/react,1965,1809,0.6409,1,N/A,0.3241,0.2327,0.0067,0.1111,0.7822,-1,https://www.github.com/facebook/react/pull/1965,https://www.github.com/facebook/react/pull/1809
facebook/react,10079,9457,0.6364,1,N/A,0.546,0.1281,0,0,0,0,https://www.github.com/facebook/react/pull/10079,https://www.github.com/facebook/react/pull/9457
facebook/react,11837,7978,0.6348,1,N/A,0.5728,0.0209,0,0,0,0,https://www.github.com/facebook/react/pull/11837,https://www.github.com/facebook/react/pull/7978
facebook/react,7112,7069,0.634,1,N/A,0.2335,0.0945,0.2535,0.0108,0.9279,0,https://www.github.com/facebook/react/pull/7112,https://www.github.com/facebook/react/pull/7069
facebook/react,10236,9414,0.6214,1,N/A,0.2808,0.3613,0,0.05,0.8991,0,https://www.github.com/facebook/react/pull/10236,https://www.github.com/facebook/react/pull/9414
facebook/react,10151,8952,0.6119,1,N/A,0.0266,0.0668,0.2236,0.1667,0,1,https://www.github.com/facebook/react/pull/10151,https://www.github.com/facebook/react/pull/8952
facebook/react,11350,2192,0.6005,1,N/A,0.1798,0.0675,0,0,0,1,https://www.github.com/facebook/react/pull/11350,https://www.github.com/facebook/react/pull/2192
facebook/react,686,409,0.6002,1,N/A,0.6066,0,0,0,0,-1,https://www.github.com/facebook/react/pull/686,https://www.github.com/facebook/react/pull/409
facebook/react,9978,9048,0.5994,1,N/A,0.082,0.149,0.175,1,0,0,https://www.github.com/facebook/react/pull/9978,https://www.github.com/facebook/react/pull/9048
facebook/react,3182,2958,0.5907,1,N/A,0.3728,0.1044,0,0.5,0,0,https://www.github.com/facebook/react/pull/3182,https://www.github.com/facebook/react/pull/2958
facebook/react,4167,3443,0.5897,1,N/A,-0.004,0,0.723,0.0577,0.473,0,https://www.github.com/facebook/react/pull/4167,https://www.github.com/facebook/react/pull/3443
facebook/react,6020,5528,0.5876,1,N/A,0.1986,0.1785,0.3518,0.3333,0,0,https://www.github.com/facebook/react/pull/6020,https://www.github.com/facebook/react/pull/5528
facebook/react,8385,3282,0.5632,1,N/A,0.5445,0,0,0,0,0,https://www.github.com/facebook/react/pull/8385,https://www.github.com/facebook/react/pull/3282
facebook/react,4659,420,0.5583,1,N/A,0.4554,0.3428,0,0,0,0,https://www.github.com/facebook/react/pull/4659,https://www.github.com/facebook/react/pull/420
facebook/react,11782,2242,0.5569,1,N/A,0.0876,0.2691,0,0,0,1,https://www.github.com/facebook/react/pull/11782,https://www.github.com/facebook/react/pull/2242
facebook/react,9752,9115,0.5502,1,N/A,0.0048,0.1076,0.2797,1,0,0,https://www.github.com/facebook/react/pull/9752,https://www.github.com/facebook/react/pull/9115
facebook/react,12609,6488,0.5476,1,N/A,0.5053,0.1251,0,0,0,0,https://www.github.com/facebook/react/pull/12609,https://www.github.com/facebook/react/pull/6488
facebook/react,7966,4271,0.5472,1,N/A,0.537,0,0,0,0,0,https://www.github.com/facebook/react/pull/7966,https://www.github.com/facebook/react/pull/4271
facebook/react,12770,12311,0.5358,1,N/A,-0.0044,0.1251,0.3482,0.25,1,0,https://www.github.com/facebook/react/pull/12770,https://www.github.com/facebook/react/pull/12311
facebook/react,13072,1194,0.5333,1,N/A,0.4851,0.1787,0,0,0,0,https://www.github.com/facebook/react/pull/13072,https://www.github.com/facebook/react/pull/1194
facebook/react,6195,6046,0.5294,1,N/A,0.5076,0.397,0,0,0,-1,https://www.github.com/facebook/react/pull/6195,https://www.github.com/facebook/react/pull/6046
facebook/react,10027,9899,0.5252,1,N/A,0.4856,0.1619,0,0,0,0,https://www.github.com/facebook/react/pull/10027,https://www.github.com/facebook/react/pull/9899
facebook/react,9487,7000,0.5228,1,N/A,-0.0135,0.2711,0.2957,0.4327,0.5881,0,https://www.github.com/facebook/react/pull/9487,https://www.github.com/facebook/react/pull/7000
facebook/react,9382,5880,0.5196,1,N/A,0.5506,0.0773,0,0,0,-1,https://www.github.com/facebook/react/pull/9382,https://www.github.com/facebook/react/pull/5880
facebook/react,1198,1072,0.5,0,N/A,0.4288,0.3317,0,0,0,0,https://www.github.com/facebook/react/pull/1198,https://www.github.com/facebook/react/pull/1072
facebook/react,5556,4248,0.5,0,N/A,0.1417,0.1273,0,1,0,0,https://www.github.com/facebook/react/pull/5556,https://www.github.com/facebook/react/pull/4248
facebook/react,11141,1761,0.5,0,N/A,0.4467,0.2674,0,0,0,0,https://www.github.com/facebook/react/pull/11141,https://www.github.com/facebook/react/pull/1761
facebook/react,2038,937,0.494,0,N/A,0.4714,0.161,0,0,0,0,https://www.github.com/facebook/react/pull/2038,https://www.github.com/facebook/react/pull/937
facebook/react,11611,1426,0.4909,0,N/A,0.4936,0.0676,0,0,0,0,https://www.github.com/facebook/react/pull/11611,https://www.github.com/facebook/react/pull/1426
facebook/react,6210,1073,0.4889,0,N/A,0.4772,0.1287,0,0,0,0,https://www.github.com/facebook/react/pull/6210,https://www.github.com/facebook/react/pull/1073
facebook/react,11424,3718,0.4875,0,N/A,0.5043,0.0191,0,0,0,0,https://www.github.com/facebook/react/pull/11424,https://www.github.com/facebook/react/pull/3718
facebook/react,5056,4061,0.4817,0,N/A,0.4913,0.0601,0,0,0,0,https://www.github.com/facebook/react/pull/5056,https://www.github.com/facebook/react/pull/4061
facebook/react,9672,7340,0.4725,0,N/A,0.4864,0.0624,0,0,0,0,https://www.github.com/facebook/react/pull/9672,https://www.github.com/facebook/react/pull/7340
facebook/react,7085,3282,0.468,0,N/A,0.4775,0.0895,0,0,0,0,https://www.github.com/facebook/react/pull/7085,https://www.github.com/facebook/react/pull/3282
facebook/react,9113,7936,0.4531,0,N/A,0.0172,0.1033,0.5226,0.1111,0.4706,0,https://www.github.com/facebook/react/pull/9113,https://www.github.com/facebook/react/pull/7936
facebook/react,6462,3334,0.4477,0,N/A,0.4611,0.1167,0,0,0,0,https://www.github.com/facebook/react/pull/6462,https://www.github.com/facebook/react/pull/3334
facebook/react,12600,4104,0.4398,0,N/A,0.4337,0.2104,0,0,0,0,https://www.github.com/facebook/react/pull/12600,https://www.github.com/facebook/react/pull/4104
facebook/react,4363,3480,0.4364,0,N/A,0.4852,0,0,0,0,0,https://www.github.com/facebook/react/pull/4363,https://www.github.com/facebook/react/pull/3480
facebook/react,8036,1268,0.4219,0,N/A,0.4779,0.0016,0,0,0,0,https://www.github.com/facebook/react/pull/8036,https://www.github.com/facebook/react/pull/1268
facebook/react,10655,9891,0.4219,0,N/A,-0.0063,0.9642,0,0.029,0.9918,0,https://www.github.com/facebook/react/pull/10655,https://www.github.com/facebook/react/pull/9891
facebook/react,412,63,0.3979,0,N/A,0.4651,0.0061,0,0,0,0,https://www.github.com/facebook/react/pull/412,https://www.github.com/facebook/react/pull/63
facebook/react,6208,3654,0.393,0,N/A,0.4654,-0.005,0,0,0,0,https://www.github.com/facebook/react/pull/6208,https://www.github.com/facebook/react/pull/3654
facebook/react,1550,466,0.3849,0,N/A,0.0077,0.1906,0,0.0333,0,1,https://www.github.com/facebook/react/pull/1550,https://www.github.com/facebook/react/pull/466
facebook/react,3861,1351,0.3811,0,N/A,0.4508,0.0292,0,0,0,0,https://www.github.com/facebook/react/pull/3861,https://www.github.com/facebook/react/pull/1351
facebook/react,10101,10092,0.3791,0,N/A,0.1741,-0.0017,0.4011,0.125,0,-1,https://www.github.com/facebook/react/pull/10101,https://www.github.com/facebook/react/pull/10092
facebook/react,1882,891,0.3785,0,N/A,0.4191,0.15,0,0,0,0,https://www.github.com/facebook/react/pull/1882,https://www.github.com/facebook/react/pull/891
facebook/react,11325,6649,0.3738,0,N/A,0.4713,0.0702,0,0,0,-1,https://www.github.com/facebook/react/pull/11325,https://www.github.com/facebook/react/pull/6649
facebook/react,8620,8611,0.3602,0,N/A,0.2326,0.1722,0.1949,0.125,0.1057,0,https://www.github.com/facebook/react/pull/8620,https://www.github.com/facebook/react/pull/8611
facebook/react,11550,6817,0.3568,0,N/A,0.34,0.4164,0,0,0,0,https://www.github.com/facebook/react/pull/11550,https://www.github.com/facebook/react/pull/6817
facebook/react,3239,1980,0.3542,0,N/A,0.0009,0.1494,0.3629,0.0015,1,0,https://www.github.com/facebook/react/pull/3239,https://www.github.com/facebook/react/pull/1980
facebook/react,12080,11639,0.3528,0,N/A,0.288,0.0019,0,0.5,0,0,https://www.github.com/facebook/react/pull/12080,https://www.github.com/facebook/react/pull/11639
facebook/react,12801,7477,0.3384,0,N/A,0.3994,0.1447,0,0,0,0,https://www.github.com/facebook/react/pull/12801,https://www.github.com/facebook/react/pull/7477
facebook/react,3144,1550,0.3315,0,N/A,0.3785,0.212,0,0,0,0,https://www.github.com/facebook/react/pull/3144,https://www.github.com/facebook/react/pull/1550
facebook/react,2000,252,0.322,0,N/A,0.4248,0.0156,0,0,0,0,https://www.github.com/facebook/react/pull/2000,https://www.github.com/facebook/react/pull/252
